field,category,description,non-missing,Min,Median,Max
case_id,id,unique uswtdb id,65548,3000001,3047053,3105267
faa_ors,id,faa digital obstacle file (dof) for obstacle repository system (ors),59812,n/a,n/a,n/a
faa_asn,id,faa obstruction evaluation - airport airspace analysis (oe-aaa) aeronautical study number (asn),59465,n/a,n/a,n/a
usgs_pr_id,id,usgs id from prior turbine dataset,39721,1,28291,49135
eia_id,id,eia plant id from eia form 860,58246,90,57342,65270
t_state,location,state where turbine is located,65548,n/a,n/a,n/a
t_county,location,county where turbine is located,65548,n/a,n/a,n/a
t_fips,location,state and county fips where turbine is located,65548,n/a,n/a,n/a
p_name,project characteristic,project name,65548,n/a,n/a,n/a
p_year,project characteristic,year project became operational,64055,1981,2011,2020
p_tnum,project characteristic,number of turbines in project,65548,1,86,731
p_cap,project characteristic,project capacity (MW),60580,0.05,150,495.01
t_manu,turbine characteristic,turbine original equipment manufacturer,59569,n/a,n/a,n/a
t_model,turbine characteristic,turbine model,59245,n/a,n/a,n/a
t_cap,turbine characteristic,turbine capacity (kW),59571,50,1800,6000
t_hh,turbine characteristic,turbine hub height (meters),58629,19,80,131
t_rd,turbine characteristic,turbine rotor diameter (meters),58911,11,90,154
t_rsa,turbine characteristic,turbine rotor swept area (meters^2),58911,95.03,6361.73,18626.5
t_ttlh,turbine characteristic,turbine total height - calculated (meters),58629,30.4,125.6,199.6
t_conf_atr,turbine characteristics qa/qc,turbine characteristic confidence (0-3),65548,1,3,3
t_conf_loc,visual inspection qa/qc,location confidence (0 -3),65548,1,3,3
t_img_date,visual inspection info,date of image used to visually verify turbine location,53380,n/a,n/a,n/a
t_img_srce,visual inspection info,source of image used to visually verify turbine location,65548,n/a,n/a,n/a
xlong,location,longitude (decimal degrees - NAD 83 datum),65548,-171.7131,-99.5567,144.7227
ylat,location,latitude (decimal degrees - NAD 83 datum),65548,13.3894,39.0069,66.8399
,,,,,,
Acronyms,,,,,,
ASN,Aeronautical Study Number,,,,,
AWEA,American Wind Energy Association,,,,,
DOF,Digital Obstacal File,,,,,
FAA,Federal Avaiation Administration,,,,,
LBNL,Lawrence Berkeley National Laboratory,,,,,
OE/AAA,Obstacle Evaluation / Airport Airspace Analysis,,,,,
ORS,Obstacle Repository System,,,,,
USGS,United States Geological Survey,,,,,
EIA,Energy Information Administration,,,,,
